==> Running on : cuda
==> Number of CPU: 48
==> Number of workers: 2
==> #Epochs: 500, #Layers: 4, #Blocks: [2, 1, 1, 1], In channel: 64, Input layer conv kernel: 9x9, Residual layer conv kernel 3x3, Skip kernel: 1x1, Input layer conv padding: 4, Residual layer conv padding: 1
==> Optimizer is Adagrad
==> Learning rate: 0.01
==> Weight decay: 0.0005
==>Trainable Parameters: 4991050
==>Other Parameters: 0
==>Augmentation: None
Files already downloaded and verified
Train epoch: 1 | Loss: *1.645* | Acc: *39.546%* (19773/50000) 
Test epoch: 1 | Loss: *1.410* | Acc: *48.020%* (4802/10000)
Train epoch: 2 | Loss: *1.267* | Acc: *54.132%* (27066/50000) 
Test epoch: 2 | Loss: *1.565* | Acc: *44.070%* (4407/10000)
Train epoch: 3 | Loss: *1.055* | Acc: *62.562%* (31281/50000) 
Test epoch: 3 | Loss: *1.085* | Acc: *61.670%* (6167/10000)
Train epoch: 4 | Loss: *0.891* | Acc: *68.580%* (34290/50000) 
Test epoch: 4 | Loss: *1.319* | Acc: *56.520%* (5652/10000)
Train epoch: 5 | Loss: *0.762* | Acc: *73.304%* (36652/50000) 
Test epoch: 5 | Loss: *1.127* | Acc: *61.690%* (6169/10000)
Train epoch: 6 | Loss: *0.647* | Acc: *77.676%* (38838/50000) 
Test epoch: 6 | Loss: *0.952* | Acc: *67.170%* (6717/10000)
Train epoch: 7 | Loss: *0.540* | Acc: *81.378%* (40689/50000) 
Test epoch: 7 | Loss: *0.971* | Acc: *65.840%* (6584/10000)
Train epoch: 8 | Loss: *0.431* | Acc: *85.144%* (42572/50000) 
Test epoch: 8 | Loss: *1.115* | Acc: *65.150%* (6515/10000)
Train epoch: 9 | Loss: *0.324* | Acc: *89.226%* (44613/50000) 
Test epoch: 9 | Loss: *0.950* | Acc: *70.980%* (7098/10000)
Train epoch: 10 | Loss: *0.212* | Acc: *93.506%* (46753/50000) 
Test epoch: 10 | Loss: *1.009* | Acc: *69.690%* (6969/10000)
Train epoch: 11 | Loss: *0.128* | Acc: *96.472%* (48236/50000) 
Test epoch: 11 | Loss: *0.943* | Acc: *72.590%* (7259/10000)
Train epoch: 12 | Loss: *0.069* | Acc: *98.592%* (49296/50000) 
Test epoch: 12 | Loss: *1.002* | Acc: *71.730%* (7173/10000)
Train epoch: 13 | Loss: *0.037* | Acc: *99.442%* (49721/50000) 
Test epoch: 13 | Loss: *1.166* | Acc: *70.690%* (7069/10000)
Train epoch: 14 | Loss: *0.019* | Acc: *99.874%* (49937/50000) 
Test epoch: 14 | Loss: *0.869* | Acc: *76.230%* (7623/10000)
Train epoch: 15 | Loss: *0.008* | Acc: *99.988%* (49994/50000) 
Test epoch: 15 | Loss: *0.804* | Acc: *78.200%* (7820/10000)
Train epoch: 16 | Loss: *0.006* | Acc: *99.982%* (49991/50000) 
Test epoch: 16 | Loss: *0.865* | Acc: *76.300%* (7630/10000)
Train epoch: 17 | Loss: *0.006* | Acc: *99.974%* (49987/50000) 
Test epoch: 17 | Loss: *0.789* | Acc: *78.070%* (7807/10000)
Train epoch: 18 | Loss: *0.004* | Acc: *99.996%* (49998/50000) 
Test epoch: 18 | Loss: *0.799* | Acc: *77.920%* (7792/10000)
Train epoch: 19 | Loss: *0.004* | Acc: *100.000%* (50000/50000) 
Test epoch: 19 | Loss: *0.791* | Acc: *78.280%* (7828/10000)
Train epoch: 20 | Loss: *0.003* | Acc: *100.000%* (50000/50000) 
Test epoch: 20 | Loss: *0.793* | Acc: *77.590%* (7759/10000)
Train epoch: 21 | Loss: *0.003* | Acc: *100.000%* (50000/50000) 
Test epoch: 21 | Loss: *0.796* | Acc: *77.490%* (7749/10000)
Train epoch: 22 | Loss: *0.068* | Acc: *97.928%* (48964/50000) 
Test epoch: 22 | Loss: *1.314* | Acc: *64.800%* (6480/10000)
Train epoch: 23 | Loss: *0.175* | Acc: *94.458%* (47229/50000) 
Test epoch: 23 | Loss: *1.790* | Acc: *57.880%* (5788/10000)
Train epoch: 24 | Loss: *0.053* | Acc: *98.970%* (49485/50000) 
Test epoch: 24 | Loss: *1.095* | Acc: *71.690%* (7169/10000)
Train epoch: 25 | Loss: *0.015* | Acc: *99.914%* (49957/50000) 
Test epoch: 25 | Loss: *0.817* | Acc: *77.400%* (7740/10000)
Train epoch: 26 | Loss: *0.005* | Acc: *100.000%* (50000/50000) 
Test epoch: 26 | Loss: *0.786* | Acc: *78.080%* (7808/10000)
Train epoch: 27 | Loss: *0.004* | Acc: *100.000%* (50000/50000) 
Test epoch: 27 | Loss: *0.782* | Acc: *78.150%* (7815/10000)
Train epoch: 28 | Loss: *0.003* | Acc: *100.000%* (50000/50000) 
Test epoch: 28 | Loss: *0.784* | Acc: *78.260%* (7826/10000)
Train epoch: 29 | Loss: *0.003* | Acc: *100.000%* (50000/50000) 
Test epoch: 29 | Loss: *0.777* | Acc: *78.280%* (7828/10000)
Train epoch: 30 | Loss: *0.003* | Acc: *100.000%* (50000/50000) 
Test epoch: 30 | Loss: *0.779* | Acc: *78.140%* (7814/10000)
Train epoch: 31 | Loss: *0.003* | Acc: *100.000%* (50000/50000) 
Test epoch: 31 | Loss: *0.778* | Acc: *78.050%* (7805/10000)
Train epoch: 32 | Loss: *0.003* | Acc: *100.000%* (50000/50000) 
Test epoch: 32 | Loss: *0.773* | Acc: *78.250%* (7825/10000)
Train epoch: 33 | Loss: *0.003* | Acc: *100.000%* (50000/50000) 
Test epoch: 33 | Loss: *0.769* | Acc: *78.150%* (7815/10000)
Train epoch: 34 | Loss: *0.003* | Acc: *100.000%* (50000/50000) 
Test epoch: 34 | Loss: *0.766* | Acc: *78.020%* (7802/10000)
Train epoch: 35 | Loss: *0.003* | Acc: *100.000%* (50000/50000) 
Test epoch: 35 | Loss: *0.763* | Acc: *78.190%* (7819/10000)
Train epoch: 36 | Loss: *0.003* | Acc: *100.000%* (50000/50000) 
Test epoch: 36 | Loss: *0.760* | Acc: *77.960%* (7796/10000)
Train epoch: 37 | Loss: *0.003* | Acc: *100.000%* (50000/50000) 
Test epoch: 37 | Loss: *0.768* | Acc: *77.700%* (7770/10000)
Train epoch: 38 | Loss: *0.003* | Acc: *100.000%* (50000/50000) 
Test epoch: 38 | Loss: *0.757* | Acc: *78.220%* (7822/10000)
Train epoch: 39 | Loss: *0.003* | Acc: *100.000%* (50000/50000) 
Test epoch: 39 | Loss: *0.761* | Acc: *78.130%* (7813/10000)
Train epoch: 40 | Loss: *0.190* | Acc: *94.186%* (47093/50000) 
Test epoch: 40 | Loss: *1.600* | Acc: *61.960%* (6196/10000)
Train epoch: 41 | Loss: *0.047* | Acc: *99.244%* (49622/50000) 
Test epoch: 41 | Loss: *0.875* | Acc: *74.980%* (7498/10000)
Train epoch: 42 | Loss: *0.011* | Acc: *99.964%* (49982/50000) 
Test epoch: 42 | Loss: *0.817* | Acc: *76.560%* (7656/10000)
Train epoch: 43 | Loss: *0.005* | Acc: *100.000%* (50000/50000) 
Test epoch: 43 | Loss: *0.765* | Acc: *77.960%* (7796/10000)
Train epoch: 44 | Loss: *0.004* | Acc: *100.000%* (50000/50000) 
Test epoch: 44 | Loss: *0.760* | Acc: *78.220%* (7822/10000)
Train epoch: 45 | Loss: *0.003* | Acc: *100.000%* (50000/50000) 
Test epoch: 45 | Loss: *0.754* | Acc: *78.130%* (7813/10000)
Train epoch: 46 | Loss: *0.003* | Acc: *100.000%* (50000/50000) 
