==> Running on : cuda
==> Number of CPU: 48
==> Number of workers: 2
==> #Epochs: 500, #Layers: 4, #Blocks: [2, 1, 1, 1], In channel: 64, Input layer conv kernel: 7x7, Residual layer conv kernel 3x3, Skip kernel: 1x1, Input layer conv padding: 2, Residual layer conv padding: 1
==> Optimizer is Adagrad
==> Learning rate: 0.01
==> Weight decay: 0.0005
==>Trainable Parameters: 4984906
==>Other Parameters: 0
==>Augmentation: None
Files already downloaded and verified
Train epoch: 1 | Loss: *1.584* | Acc: *41.814%* (20907/50000) 
Test epoch: 1 | Loss: *1.415* | Acc: *47.300%* (4730/10000)
Train epoch: 2 | Loss: *1.137* | Acc: *59.274%* (29637/50000) 
Test epoch: 2 | Loss: *1.426* | Acc: *51.300%* (5130/10000)
Train epoch: 3 | Loss: *0.878* | Acc: *68.858%* (34429/50000) 
Test epoch: 3 | Loss: *0.939* | Acc: *66.150%* (6615/10000)
Train epoch: 4 | Loss: *0.691* | Acc: *75.704%* (37852/50000) 
Test epoch: 4 | Loss: *0.877* | Acc: *69.220%* (6922/10000)
Train epoch: 5 | Loss: *0.555* | Acc: *80.592%* (40296/50000) 
Test epoch: 5 | Loss: *0.819* | Acc: *72.190%* (7219/10000)
Train epoch: 6 | Loss: *0.440* | Acc: *84.940%* (42470/50000) 
Test epoch: 6 | Loss: *0.871* | Acc: *72.050%* (7205/10000)
Train epoch: 7 | Loss: *0.332* | Acc: *88.894%* (44447/50000) 
Test epoch: 7 | Loss: *0.830* | Acc: *73.000%* (7300/10000)
Train epoch: 8 | Loss: *0.226* | Acc: *92.752%* (46376/50000) 
Test epoch: 8 | Loss: *0.852* | Acc: *73.770%* (7377/10000)
Train epoch: 9 | Loss: *0.138* | Acc: *95.888%* (47944/50000) 
Test epoch: 9 | Loss: *0.698* | Acc: *77.600%* (7760/10000)
Train epoch: 10 | Loss: *0.077* | Acc: *98.176%* (49088/50000) 
Test epoch: 10 | Loss: *1.091* | Acc: *73.020%* (7302/10000)
Train epoch: 11 | Loss: *0.037* | Acc: *99.420%* (49710/50000) 
Test epoch: 11 | Loss: *0.793* | Acc: *77.880%* (7788/10000)
Train epoch: 12 | Loss: *0.017* | Acc: *99.864%* (49932/50000) 
Test epoch: 12 | Loss: *0.754* | Acc: *79.120%* (7912/10000)
Train epoch: 13 | Loss: *0.008* | Acc: *99.978%* (49989/50000) 
Test epoch: 13 | Loss: *0.697* | Acc: *80.110%* (8011/10000)
Train epoch: 14 | Loss: *0.005* | Acc: *100.000%* (50000/50000) 
Test epoch: 14 | Loss: *0.657* | Acc: *81.290%* (8129/10000)
Train epoch: 15 | Loss: *0.004* | Acc: *100.000%* (50000/50000) 
Test epoch: 15 | Loss: *0.646* | Acc: *81.530%* (8153/10000)
Train epoch: 16 | Loss: *0.003* | Acc: *100.000%* (50000/50000) 
Test epoch: 16 | Loss: *0.744* | Acc: *79.370%* (7937/10000)
Train epoch: 17 | Loss: *0.111* | Acc: *96.702%* (48351/50000) 
Test epoch: 17 | Loss: *0.913* | Acc: *73.480%* (7348/10000)
Train epoch: 18 | Loss: *0.061* | Acc: *98.478%* (49239/50000) 
Test epoch: 18 | Loss: *0.814* | Acc: *77.320%* (7732/10000)
Train epoch: 19 | Loss: *0.019* | Acc: *99.822%* (49911/50000) 
Test epoch: 19 | Loss: *0.805* | Acc: *77.690%* (7769/10000)
Train epoch: 20 | Loss: *0.006* | Acc: *99.998%* (49999/50000) 
Test epoch: 20 | Loss: *0.663* | Acc: *81.560%* (8156/10000)
Train epoch: 21 | Loss: *0.004* | Acc: *100.000%* (50000/50000) 
Test epoch: 21 | Loss: *0.652* | Acc: *81.860%* (8186/10000)
Train epoch: 22 | Loss: *0.003* | Acc: *100.000%* (50000/50000) 
Test epoch: 22 | Loss: *0.645* | Acc: *81.830%* (8183/10000)
Train epoch: 23 | Loss: *0.003* | Acc: *100.000%* (50000/50000) 
Test epoch: 23 | Loss: *0.652* | Acc: *81.430%* (8143/10000)
Train epoch: 24 | Loss: *0.003* | Acc: *100.000%* (50000/50000) 
Test epoch: 24 | Loss: *0.652* | Acc: *81.680%* (8168/10000)
Train epoch: 25 | Loss: *0.003* | Acc: *100.000%* (50000/50000) 
Test epoch: 25 | Loss: *0.639* | Acc: *81.710%* (8171/10000)
Train epoch: 26 | Loss: *0.003* | Acc: *100.000%* (50000/50000) 
Test epoch: 26 | Loss: *0.633* | Acc: *81.420%* (8142/10000)
Train epoch: 27 | Loss: *0.003* | Acc: *99.996%* (49998/50000) 
Test epoch: 27 | Loss: *0.631* | Acc: *81.620%* (8162/10000)
Train epoch: 28 | Loss: *0.003* | Acc: *100.000%* (50000/50000) 
Test epoch: 28 | Loss: *0.691* | Acc: *79.970%* (7997/10000)
Train epoch: 29 | Loss: *0.003* | Acc: *100.000%* (50000/50000) 
Test epoch: 29 | Loss: *0.626* | Acc: *81.770%* (8177/10000)
Train epoch: 30 | Loss: *0.081* | Acc: *97.668%* (48834/50000) 
Test epoch: 30 | Loss: *1.325* | Acc: *67.220%* (6722/10000)
Train epoch: 31 | Loss: *0.101* | Acc: *97.250%* (48625/50000) 
Test epoch: 31 | Loss: *0.849* | Acc: *75.900%* (7590/10000)
Train epoch: 32 | Loss: *0.029* | Acc: *99.592%* (49796/50000) 
Test epoch: 32 | Loss: *0.733* | Acc: *79.020%* (7902/10000)
Train epoch: 33 | Loss: *0.007* | Acc: *99.990%* (49995/50000) 
Test epoch: 33 | Loss: *0.642* | Acc: *81.390%* (8139/10000)
Train epoch: 34 | Loss: *0.004* | Acc: *100.000%* (50000/50000) 
Test epoch: 34 | Loss: *0.637* | Acc: *81.490%* (8149/10000)
Train epoch: 35 | Loss: *0.003* | Acc: *100.000%* (50000/50000) 
Test epoch: 35 | Loss: *0.637* | Acc: *81.510%* (8151/10000)
Train epoch: 36 | Loss: *0.003* | Acc: *100.000%* (50000/50000) 
Test epoch: 36 | Loss: *0.632* | Acc: *81.690%* (8169/10000)
Train epoch: 37 | Loss: *0.003* | Acc: *100.000%* (50000/50000) 
Test epoch: 37 | Loss: *0.624* | Acc: *81.630%* (8163/10000)
Train epoch: 38 | Loss: *0.002* | Acc: *100.000%* (50000/50000) 
Test epoch: 38 | Loss: *0.625* | Acc: *81.620%* (8162/10000)
Train epoch: 39 | Loss: *0.002* | Acc: *100.000%* (50000/50000) 
Test epoch: 39 | Loss: *0.621* | Acc: *81.590%* (8159/10000)
Train epoch: 40 | Loss: *0.002* | Acc: *100.000%* (50000/50000) 
Test epoch: 40 | Loss: *0.622* | Acc: *81.500%* (8150/10000)
Train epoch: 41 | Loss: *0.002* | Acc: *100.000%* (50000/50000) 
Test epoch: 41 | Loss: *0.619* | Acc: *81.690%* (8169/10000)
Train epoch: 42 | Loss: *0.002* | Acc: *100.000%* (50000/50000) 
Test epoch: 42 | Loss: *0.623* | Acc: *81.390%* (8139/10000)
Train epoch: 43 | Loss: *0.002* | Acc: *100.000%* (50000/50000) 
Test epoch: 43 | Loss: *0.627* | Acc: *81.460%* (8146/10000)
Train epoch: 44 | Loss: *0.002* | Acc: *100.000%* (50000/50000) 
Test epoch: 44 | Loss: *0.712* | Acc: *80.300%* (8030/10000)
Train epoch: 45 | Loss: *0.002* | Acc: *100.000%* (50000/50000) 
Test epoch: 45 | Loss: *0.612* | Acc: *81.740%* (8174/10000)
Train epoch: 46 | Loss: *0.018* | Acc: *99.756%* (49878/50000) 
