==> Running on : cuda
==> Number of CPU: 48
==> Number of workers: 2
==> #Epochs: 500, #Layers: 2, #Blocks: [1, 3], In channel: 64, Input layer conv kernel: 7x7, Residual layer conv kernel 7x7, Skip kernel: 1x1, Input layer conv padding: 3, Residual layer conv padding: 3
==> Optimizer is Adagrad
==> Learning rate: 0.01
==> Weight decay: 0.0005
==>Trainable Parameters: 4837962
==>Other Parameters: 0
==>Augmentation: None
Files already downloaded and verified
Test epoch: 39 | Loss: *0.990* | Acc: *77.290%* (7729/10000)
Train epoch: 40 | Loss: *0.013* | Acc: *99.728%* (49864/50000) 
Test epoch: 40 | Loss: *0.701* | Acc: *82.720%* (8272/10000)
Train epoch: 41 | Loss: *0.012* | Acc: *99.746%* (49873/50000) 
Test epoch: 41 | Loss: *0.616* | Acc: *84.470%* (8447/10000)
Train epoch: 42 | Loss: *0.006* | Acc: *99.936%* (49968/50000) 
Test epoch: 42 | Loss: *0.617* | Acc: *84.690%* (8469/10000)
Train epoch: 43 | Loss: *0.003* | Acc: *99.994%* (49997/50000) 
Test epoch: 43 | Loss: *0.600* | Acc: *85.210%* (8521/10000)
Train epoch: 44 | Loss: *0.002* | Acc: *99.998%* (49999/50000) 
Test epoch: 44 | Loss: *0.592* | Acc: *85.320%* (8532/10000)
Train epoch: 45 | Loss: *0.001* | Acc: *100.000%* (50000/50000) 
Test epoch: 45 | Loss: *0.600* | Acc: *85.470%* (8547/10000)
Train epoch: 46 | Loss: *0.001* | Acc: *100.000%* (50000/50000) 
Test epoch: 46 | Loss: *0.651* | Acc: *84.630%* (8463/10000)
Train epoch: 47 | Loss: *0.001* | Acc: *100.000%* (50000/50000) 
Test epoch: 47 | Loss: *0.592* | Acc: *85.660%* (8566/10000)
Train epoch: 48 | Loss: *0.001* | Acc: *100.000%* (50000/50000) 
Test epoch: 48 | Loss: *0.585* | Acc: *85.470%* (8547/10000)
Train epoch: 49 | Loss: *0.001* | Acc: *100.000%* (50000/50000) 
Test epoch: 49 | Loss: *0.591* | Acc: *85.650%* (8565/10000)
Train epoch: 50 | Loss: *0.001* | Acc: *100.000%* (50000/50000) 
Test epoch: 50 | Loss: *0.601* | Acc: *85.600%* (8560/10000)
Train epoch: 51 | Loss: *0.001* | Acc: *100.000%* (50000/50000) 
Test epoch: 51 | Loss: *0.590* | Acc: *85.730%* (8573/10000)
Train epoch: 52 | Loss: *0.001* | Acc: *100.000%* (50000/50000) 
Test epoch: 52 | Loss: *0.594* | Acc: *85.580%* (8558/10000)
Train epoch: 53 | Loss: *0.001* | Acc: *100.000%* (50000/50000) 
Test epoch: 53 | Loss: *0.579* | Acc: *85.580%* (8558/10000)
Train epoch: 54 | Loss: *0.001* | Acc: *100.000%* (50000/50000) 
Test epoch: 54 | Loss: *0.568* | Acc: *85.500%* (8550/10000)
Train epoch: 55 | Loss: *0.001* | Acc: *100.000%* (50000/50000) 
Test epoch: 55 | Loss: *0.630* | Acc: *85.660%* (8566/10000)
Train epoch: 56 | Loss: *0.014* | Acc: *99.712%* (49856/50000) 
Test epoch: 56 | Loss: *0.577* | Acc: *82.890%* (8289/10000)
Train epoch: 57 | Loss: *0.063* | Acc: *98.230%* (49115/50000) 
Test epoch: 57 | Loss: *0.640* | Acc: *81.830%* (8183/10000)
Train epoch: 58 | Loss: *0.053* | Acc: *98.528%* (49264/50000) 
Test epoch: 58 | Loss: *0.830* | Acc: *78.730%* (7873/10000)
Train epoch: 59 | Loss: *0.045* | Acc: *98.700%* (49350/50000) 
Test epoch: 59 | Loss: *0.680* | Acc: *82.560%* (8256/10000)
Train epoch: 60 | Loss: *0.034* | Acc: *99.094%* (49547/50000) 
Test epoch: 60 | Loss: *0.694* | Acc: *82.170%* (8217/10000)
Train epoch: 61 | Loss: *0.027* | Acc: *99.342%* (49671/50000) 
Test epoch: 61 | Loss: *0.694* | Acc: *82.270%* (8227/10000)
Train epoch: 62 | Loss: *0.011* | Acc: *99.822%* (49911/50000) 
Test epoch: 62 | Loss: *0.604* | Acc: *84.340%* (8434/10000)
Train epoch: 63 | Loss: *0.007* | Acc: *99.914%* (49957/50000) 
Test epoch: 63 | Loss: *0.609* | Acc: *84.430%* (8443/10000)
Train epoch: 64 | Loss: *0.005* | Acc: *99.952%* (49976/50000) 
Test epoch: 64 | Loss: *0.585* | Acc: *85.080%* (8508/10000)
Train epoch: 65 | Loss: *0.002* | Acc: *99.998%* (49999/50000) 
Test epoch: 65 | Loss: *0.567* | Acc: *85.820%* (8582/10000)
Train epoch: 66 | Loss: *0.002* | Acc: *100.000%* (50000/50000) 
Test epoch: 66 | Loss: *0.570* | Acc: *86.060%* (8606/10000)
Train epoch: 67 | Loss: *0.001* | Acc: *100.000%* (50000/50000) 
Test epoch: 67 | Loss: *0.572* | Acc: *85.980%* (8598/10000)
Train epoch: 68 | Loss: *0.001* | Acc: *100.000%* (50000/50000) 
Test epoch: 68 | Loss: *0.575* | Acc: *86.100%* (8610/10000)
Train epoch: 69 | Loss: *0.002* | Acc: *99.990%* (49995/50000) 
Test epoch: 69 | Loss: *0.564* | Acc: *85.970%* (8597/10000)
Train epoch: 70 | Loss: *0.002* | Acc: *99.998%* (49999/50000) 
Test epoch: 70 | Loss: *0.573* | Acc: *85.870%* (8587/10000)
Train epoch: 71 | Loss: *0.001* | Acc: *100.000%* (50000/50000) 
Test epoch: 71 | Loss: *0.575* | Acc: *86.020%* (8602/10000)
Train epoch: 72 | Loss: *0.001* | Acc: *100.000%* (50000/50000) 
Test epoch: 72 | Loss: *0.575* | Acc: *85.900%* (8590/10000)
Train epoch: 73 | Loss: *0.001* | Acc: *100.000%* (50000/50000) 
Test epoch: 73 | Loss: *0.583* | Acc: *86.050%* (8605/10000)
Train epoch: 74 | Loss: *0.001* | Acc: *100.000%* (50000/50000) 
